price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade
677900.0,3,2.5,2440,4587,2.0,3,8
180250.0,2,0.75,900,9600,1.0,3,6
464000.0,6,3.0,2300,3404,2.0,3,7
625504.0,3,2.25,1270,1566,2.0,3,8
592500.0,4,2.5,2240,12032,1.0,3,9
465000.0,3,2.5,2714,17936,2.0,3,9
477000.0,4,2.75,1720,6270,2.0,3,8
280000.0,2,1.0,850,16400,1.0,3,6
1070000.0,2,2.25,3900,14864,1.0,3,8
467000.0,2,1.5,1320,10800,1.0,4,8
686000.0,4,2.5,2760,6440,2.0,3,10
279950.0,3,2.0,1750,9750,1.0,3,7
527000.0,4,2.25,2330,19436,2.0,3,8
325000.0,3,2.25,2220,16020,1.0,4,8
328000.0,3,2.25,2020,8379,2.0,3,7
235000.0,3,1.0,1430,15246,1.0,4,7
516500.0,3,2.5,1480,4729,2.0,3,7
655000.0,2,1.75,1450,15798,2.0,3,7
500000.0,4,2.75,2280,15347,1.0,5,7
315000.0,6,2.75,2940,7350,1.0,3,8
213000.0,2,1.0,1000,10200,1.0,3,6
1030000.0,5,4.0,3760,28040,2.0,3,10
416000.0,3,2.0,2220,94300,1.0,5,7
410000.0,4,1.0,1970,4740,1.5,3,7
800000.0,3,3.5,3830,221284,2.0,3,10
472000.0,6,2.5,4410,14034,1.0,4,9
225000.0,3,1.75,1430,8505,1.0,4,7
210000.0,2,1.0,830,6000,1.0,3,6
455000.0,2,1.0,1430,5000,1.5,2,7
225000.0,3,1.0,1300,8316,1.0,4,6
480000.0,2,1.0,1030,3060,1.0,4,7
363000.0,3,2.5,2740,11872,2.0,3,9
2400000.0,4,2.5,3650,8354,1.0,3,9
181000.0,2,1.5,720,5120,1.0,3,6
481000.0,3,1.75,1560,3000,1.0,4,6
260000.0,3,2.0,1810,7209,1.0,4,7
455000.0,4,2.5,3360,7685,2.0,3,9
415000.0,3,2.25,1510,36224,2.0,3,8
349500.0,3,1.0,1400,3538,1.0,3,7
245000.0,3,2.5,1730,7442,2.0,3,7
592500.0,2,2.0,1420,9191,1.5,5,7
385000.0,4,1.75,2360,7620,1.0,4,7
315000.0,3,1.75,1580,11455,1.0,4,7
237000.0,3,1.75,1270,8470,1.0,4,7
525000.0,3,2.25,2100,40510,2.0,3,10
425000.0,2,1.0,770,5040,1.0,3,5
369900.0,1,0.75,760,10079,1.0,5,5
290000.0,4,2.5,1700,7280,2.0,4,7
285000.0,3,1.0,1120,10701,1.0,3,7
415000.0,2,1.0,1070,4500,1.0,3,7
272500.0,3,2.5,2070,9900,1.0,3,8
210000.0,3,1.0,1700,11390,1.0,4,7
331000.0,3,1.75,1080,1306,1.0,3,7
365000.0,3,2.5,2653,4510,2.0,3,8
770000.0,4,2.75,3820,26300,2.0,3,9
405000.0,3,1.75,2390,6000,1.0,3,6
170000.0,2,1.0,860,5265,1.0,3,6
2050000.0,5,3.0,3830,8480,2.0,5,9
780000.0,4,2.5,3500,7048,2.0,3,9
330000.0,3,3.0,2420,13959,1.0,4,8
370000.0,4,2.5,2720,8666,2.0,3,9
467000.0,5,2.25,2500,13500,1.0,3,7
675000.0,5,2.25,2900,10300,1.0,3,8
500000.0,2,1.0,1640,14100,1.0,4,7
630000.0,4,1.75,2950,9025,1.0,4,8
360000.0,4,2.5,2160,9528,2.0,3,9
580000.0,4,3.0,3280,11060,2.0,3,8
550000.0,3,2.0,1970,4166,2.0,5,8
879000.0,4,2.5,3360,22111,2.0,3,10
404000.0,3,1.5,2030,8880,1.0,3,7
267500.0,3,1.75,1590,11914,1.0,3,7
3080000.0,4,5.0,4550,18641,1.0,3,10
335000.0,3,2.5,2440,7632,2.0,3,8
208633.0,3,2.5,2040,3810,2.0,3,8
315000.0,3,2.25,2200,8750,1.0,4,7
725000.0,3,1.75,1920,3300,1.0,4,8
550000.0,4,2.75,1800,7750,1.0,4,8
550700.0,2,1.0,1010,5000,1.5,4,6
201000.0,5,1.75,1660,78408,1.5,3,6
2380000.0,5,2.5,3650,9050,2.0,5,10
1380000.0,4,3.25,4290,12103,1.0,3,11
1400000.0,4,3.25,4290,12103,1.0,3,11
305000.0,4,2.25,1950,7700,1.0,3,8
487000.0,3,2.0,2590,14052,1.0,5,8
390000.0,3,2.5,1930,64904,1.0,4,8
268750.0,4,1.0,800,8775,1.0,3,6
819900.0,5,2.75,3150,7119,2.0,3,9
520000.0,3,2.25,2030,16200,2.0,3,8
230000.0,3,2.0,1450,11204,1.0,3,7
240000.0,3,1.75,1510,10248,1.0,3,7
240500.0,2,1.0,1240,12092,1.0,3,6
274975.0,3,2.5,3030,45004,2.0,3,9
186375.0,3,1.0,1000,7636,1.0,2,7
790000.0,3,2.25,2370,10289,1.0,4,9
279000.0,6,1.75,2240,11180,2.0,4,7
295000.0,3,2.0,1810,10530,1.0,3,8
640000.0,2,1.0,1070,5000,1.0,3,7
260000.0,4,2.5,1960,5238,2.0,3,7
791500.0,4,2.0,1510,3500,1.5,5,7
245000.0,3,1.75,1740,11547,1.0,3,7
485000.0,4,1.75,2560,43995,2.0,4,7
425000.0,3,1.75,2500,6840,1.0,3,8
309600.0,4,1.75,1275,20000,1.0,4,6
165000.0,4,1.0,1000,7134,1.0,3,6
320000.0,2,1.0,1070,32633,1.0,4,6
206600.0,3,2.0,1390,13464,1.0,4,7
387000.0,4,1.75,2500,7690,1.0,3,7
855000.0,4,2.75,2270,10460,2.0,3,9
315000.0,3,1.0,1900,14400,1.0,4,7
252000.0,4,1.5,1550,19800,1.0,4,7
375000.0,4,1.75,2200,7475,1.0,5,7
300000.0,4,2.5,1910,4862,2.0,3,7
900000.0,3,1.0,1330,77972,1.0,3,7
463000.0,3,2.5,1640,29970,2.0,3,7
380000.0,5,2.5,2760,11340,2.0,4,9
329500.0,4,2.5,1820,7912,2.0,3,7
795000.0,5,2.5,3040,9570,1.0,4,8
673000.0,4,2.5,2990,10400,2.0,3,9
785000.0,4,2.75,2440,69415,1.0,4,8
338000.0,4,3.0,2090,7500,1.0,3,7
280000.0,3,2.25,1430,7222,2.0,3,7
530000.0,4,2.25,2180,10754,1.0,5,7
380000.0,5,3.0,3450,9914,2.0,3,9
297000.0,3,2.25,1450,7562,2.0,3,7
730000.0,4,2.5,3230,7331,2.0,3,10
275000.0,3,3.0,1590,7750,1.0,3,7
435000.0,3,1.5,1300,3348,1.5,3,7
270000.0,2,1.5,1380,209959,1.0,1,6
950000.0,3,3.0,4040,14338,2.0,3,10
560000.0,4,2.25,2550,7800,1.0,3,8
799000.0,4,2.25,2510,11585,2.0,4,8
365500.0,3,2.0,1410,9600,1.0,4,7
252350.0,3,2.0,1650,7352,1.0,3,7
403950.0,4,2.5,2120,13780,2.0,3,8
345000.0,4,1.0,1550,7620,1.5,3,7
490000.0,3,2.75,1980,3128,2.0,4,9
330000.0,3,2.5,1600,26977,2.0,3,8
927000.0,4,2.75,3300,12090,2.0,3,8
330000.0,2,1.0,1220,10000,1.0,5,7
530000.0,5,2.25,2720,8800,1.0,4,7
378750.0,3,2.5,2160,3000,1.5,3,7
269900.0,4,1.75,1530,8750,1.5,4,7
557000.0,3,3.5,1710,2096,2.0,3,8
360000.0,4,1.75,3730,16980,1.0,4,7
352000.0,2,1.0,940,5000,1.0,4,7
322500.0,4,2.5,1820,6753,2.0,3,7
450000.0,3,2.0,1290,1213,3.0,3,8
278500.0,3,2.0,1570,5250,1.0,3,7
364950.0,4,2.5,1930,6957,2.0,3,8
840000.0,4,3.5,2840,40139,1.0,4,10
268000.0,3,2.5,1550,8134,2.0,3,7
517534.0,2,1.0,833,143947,1.0,3,5
577500.0,3,2.5,2000,7251,2.0,3,9
339000.0,4,1.5,2390,7480,1.5,3,7
570000.0,3,1.75,2910,37461,1.0,4,7
563500.0,4,1.75,2085,174240,1.0,3,7
423000.0,4,2.25,2200,9351,1.0,5,7
1550000.0,5,4.25,6070,171626,2.0,3,12
482000.0,2,1.0,950,3960,1.0,3,7
625000.0,3,1.75,1600,9135,1.0,5,7
538000.0,3,2.5,2250,11632,2.0,3,8
380000.0,3,2.5,2280,10255,2.0,4,8
375000.0,2,1.0,940,5120,1.0,3,7
245000.0,3,2.5,1530,8500,1.0,5,7
397000.0,4,2.0,1440,7680,1.0,3,7
365000.0,3,2.5,2200,4052,2.0,3,8
328500.0,4,3.0,2290,8250,2.0,3,9
988000.0,4,3.0,4040,19700,2.0,3,11
1000000.0,4,2.5,2610,3277,1.5,5,8
525000.0,4,2.5,2450,5280,2.0,3,8
749000.0,4,2.5,1710,9627,1.0,3,9
722500.0,5,2.5,4870,11800,2.0,3,10
578000.0,3,1.75,2120,10875,1.0,3,8
227950.0,3,1.5,1670,8230,1.0,5,7
196000.0,3,2.25,2070,11576,2.0,3,7
641000.0,2,1.0,1420,5332,1.0,3,8
350000.0,3,1.5,1250,219978,1.0,4,6
205000.0,3,1.0,940,7980,1.0,4,7
400000.0,3,1.75,1920,9102,1.0,3,7
1030000.0,3,2.5,3545,9816,1.0,3,10
505000.0,3,2.0,1260,5460,1.0,3,7
475000.0,5,2.5,2340,7200,1.0,3,7
520000.0,3,2.25,2590,9263,1.0,5,8
333500.0,3,1.75,1220,9732,1.0,3,7
691100.0,3,2.75,2360,16117,1.0,4,8
811000.0,3,1.75,1870,9897,1.0,4,8
551000.0,3,2.5,2830,5802,2.0,3,9
496500.0,3,2.5,2260,3640,2.0,3,8
705000.0,3,3.0,1970,20978,2.0,4,9
255000.0,3,1.75,1240,8659,1.0,5,7
230000.0,3,2.0,1510,3413,2.0,3,7
465000.0,3,1.75,1480,6360,1.0,3,7
325000.0,4,2.5,1850,7324,2.0,3,8
342500.0,3,2.5,1810,5192,2.0,3,8
290900.0,2,2.0,1610,17600,2.0,3,6
868700.0,3,4.25,3840,6161,2.0,3,10
1150000.0,4,3.25,4190,10259,2.0,3,11
859900.0,4,2.75,3390,6298,2.0,3,9
520000.0,4,2.25,1890,3006,2.0,3,7
438924.0,3,1.5,1050,4590,1.0,3,7
590000.0,4,2.75,2910,10650,1.0,3,8
378500.0,4,1.75,1700,8640,1.0,3,7
328500.0,3,2.5,1950,8130,2.0,4,9
849950.0,3,3.0,2990,9773,2.0,4,8
525000.0,3,1.5,1350,6000,1.0,3,7
1390000.0,4,3.25,4860,181319,2.5,3,9
1070000.0,6,3.5,4860,11793,2.0,3,11
699900.0,4,2.75,2810,7302,2.0,3,9
1280000.0,5,2.5,3400,9500,2.0,4,8
452000.0,4,1.5,1580,7350,1.0,4,7
370000.0,3,2.0,1680,5036,1.0,4,7
232000.0,3,1.75,1300,11230,1.0,5,7
397500.0,3,2.0,1510,6710,1.0,3,7
490000.0,2,2.5,1230,1391,2.0,3,8
725000.0,4,2.0,2110,4140,2.0,3,9
299000.0,3,2.75,3080,19635,1.0,4,7
625000.0,2,1.5,1490,5750,1.5,4,7
437500.0,3,2.5,2120,4500,2.0,3,7
475000.0,2,1.0,1490,3825,1.0,3,7
342000.0,3,2.0,1930,11947,1.0,4,8
280000.0,3,1.5,1670,11610,1.0,4,7
529000.0,3,1.0,1210,3328,1.5,4,7
442000.0,3,1.0,1190,5100,1.0,4,7
1490000.0,4,3.75,4030,10800,2.0,3,10
585000.0,4,1.75,2430,7559,1.0,4,8
480000.0,4,2.5,2600,7787,2.0,3,8
1100000.0,5,3.5,4410,57063,2.0,4,9
290000.0,4,1.0,1330,8184,1.5,3,7
615000.0,3,1.75,1900,5000,1.0,5,7
300000.0,2,1.0,1100,7680,1.0,4,7
308000.0,3,1.0,1980,39150,1.5,3,6
750000.0,3,2.5,2400,7745,2.0,3,9
2250000.0,4,2.25,4760,8036,2.5,5,9
288000.0,3,1.0,1190,7560,1.0,5,6
190000.0,2,1.0,630,6000,1.0,3,6
515000.0,5,3.0,2530,5105,1.0,3,8
235000.0,4,1.5,1690,11054,1.0,4,5
275000.0,2,1.0,940,5000,1.0,3,6
650000.0,4,2.5,3040,6587,2.0,3,7
662000.0,3,1.75,2500,36947,1.0,3,9
270500.0,3,2.5,1780,7848,1.0,3,7
200000.0,2,1.5,1360,1898,2.0,3,7
204000.0,3,1.0,1040,7405,1.0,4,6
358000.0,3,2.25,1610,6655,2.0,4,7
452000.0,4,1.75,1570,8268,1.0,3,7
595000.0,2,2.0,1510,4000,1.0,4,7
346900.0,4,2.5,1970,5106,2.0,3,8
2130000.0,3,2.5,5403,24069,2.0,4,12
280000.0,4,2.5,1560,4350,2.0,3,7
318888.0,4,1.75,2320,12000,1.0,4,8
530000.0,3,2.25,2120,40518,1.0,3,8
782000.0,4,2.5,2380,9614,2.0,4,10
259950.0,2,2.0,1070,649,2.0,3,9
215000.0,2,1.0,1320,8865,1.0,4,6
705000.0,3,1.75,2180,10221,1.0,4,7
451000.0,3,1.75,1790,9813,2.0,3,7
261000.0,2,1.0,750,8125,1.0,4,6
396000.0,3,1.5,1300,8280,1.0,5,7
238000.0,4,1.0,1400,7242,1.5,3,7
750000.0,6,1.75,2750,9563,2.0,4,8
331500.0,4,2.5,2050,10271,2.0,3,7
460000.0,4,3.0,2230,108900,1.0,3,7
404950.0,4,2.25,2340,217014,1.0,4,8
880000.0,3,2.5,2870,5163,2.0,3,9
638700.0,3,1.75,2080,9162,1.0,3,7
260000.0,3,1.0,1180,5350,1.5,4,6
405000.0,2,0.75,1160,15029,1.0,4,6
338900.0,4,2.5,1830,5612,2.0,3,7
720000.0,4,4.0,3200,7708,2.0,3,10
442000.0,5,3.0,2560,5445,1.5,4,7
300000.0,2,1.0,1220,75794,1.0,4,7
930000.0,4,4.0,6050,84942,2.5,3,9
530000.0,4,2.5,2320,5493,2.0,3,8
180000.0,3,1.0,1384,8960,1.0,4,6
264000.0,3,1.5,1820,10608,1.0,4,7
439000.0,4,2.25,2060,10070,2.0,3,7
268500.0,4,1.75,1420,7500,1.0,4,7
330000.0,3,1.75,1510,15744,1.0,3,7
640000.0,3,2.5,2160,4000,1.5,3,8
900000.0,3,2.5,3180,12600,2.0,4,11
370000.0,3,2.25,2110,13300,2.0,4,8
265000.0,3,1.75,1820,32666,1.0,4,7
296000.0,4,2.5,1780,3600,2.0,3,7
360000.0,4,2.5,1840,9611,2.0,3,7
240500.0,3,1.75,1460,10584,1.0,3,7
515000.0,4,3.0,3590,8249,2.0,3,9
1220000.0,4,2.25,3200,15367,2.0,4,9
185000.0,3,1.75,1430,10816,2.0,3,7
460000.0,3,1.75,1440,7070,1.0,3,7
435500.0,3,2.25,1450,4789,2.0,3,7
469000.0,4,2.75,3550,13938,1.0,5,8
531000.0,2,3.0,1270,1175,2.0,3,8
443500.0,2,1.0,940,6804,1.0,3,7
223000.0,3,2.0,1670,6824,1.0,3,7
590000.0,4,3.5,3100,15842,2.0,3,8
695000.0,3,2.75,2540,4694,2.0,3,9
242000.0,3,1.75,1280,7524,1.5,4,7
425000.0,3,2.25,1820,8814,1.0,3,7
525000.0,3,2.25,1490,9414,2.0,3,7
485000.0,3,2.5,1880,5502,2.0,3,8
175000.0,3,1.0,1250,9775,1.0,3,7
260000.0,3,2.5,1920,7415,2.0,3,7
577000.0,3,2.5,2060,5750,1.0,3,7
200000.0,3,1.5,1210,10588,1.0,4,7
325000.0,3,1.0,990,6750,1.0,4,6
289500.0,3,1.0,960,6400,1.0,4,6
559950.0,3,2.5,1660,1458,3.0,3,9
1040000.0,3,1.75,1900,9375,1.0,4,8
543500.0,3,2.25,1270,2790,1.0,3,7
480000.0,4,2.25,3250,34293,2.0,4,9
218000.0,3,1.0,960,9633,1.0,5,6
426700.0,3,1.75,2080,7700,1.0,5,7
214000.0,3,1.0,1200,8316,1.0,4,6
245000.0,3,1.5,1360,8910,2.0,5,7
314500.0,3,2.0,2050,13303,1.0,3,8
378000.0,2,2.0,1300,3850,1.0,3,7
305000.0,4,2.5,2250,9091,1.0,3,7
729500.0,3,2.5,1660,1091,3.0,3,9
430000.0,3,2.5,2360,6699,2.0,3,7
545000.0,3,1.75,1680,6200,1.5,3,7
530000.0,3,1.75,1320,2500,1.0,3,7
157000.0,1,1.0,870,26326,1.0,3,6
425000.0,4,1.0,1260,7645,1.5,3,6
220000.0,3,1.0,1000,6020,1.0,3,6
521000.0,4,1.75,2020,36400,1.0,4,8
337000.0,3,2.5,1470,3976,2.0,3,7
1000000.0,3,2.5,3180,10492,2.0,3,10
3070000.0,3,2.5,3930,55867,1.0,4,8
495000.0,3,1.0,990,6000,1.0,3,6
748000.0,4,3.5,2770,3330,2.0,3,8
888000.0,3,1.5,1250,8710,1.0,4,7
269900.0,3,1.75,1140,22267,1.0,3,7
475000.0,3,2.5,1640,5097,2.0,3,7
312000.0,3,1.5,1255,1374,3.0,3,7
331000.0,3,1.75,1300,9079,1.0,3,7
306000.0,3,1.5,1220,1086,3.0,3,8
655000.0,4,2.5,2630,4000,3.0,3,8
290000.0,3,1.5,1950,15954,1.0,4,8
1250000.0,4,3.25,3160,5000,2.0,5,9
460000.0,3,1.75,1550,4708,1.0,4,7
664000.0,4,2.75,2510,11880,1.0,5,8
385000.0,3,1.75,1800,18000,1.0,3,8
497000.0,3,2.25,1870,9315,1.0,3,7
188000.0,2,1.5,1120,17487,1.0,3,6
478500.0,3,1.0,2090,4755,1.0,3,8
1150000.0,4,3.5,4370,18361,2.0,3,11
222000.0,3,2.0,1440,7187,1.0,4,7
609900.0,4,2.5,3190,7399,2.0,3,10
413000.0,4,3.5,2380,5809,2.0,4,7
400000.0,4,1.0,1420,4875,1.5,3,7
320000.0,3,2.5,2680,7757,2.0,3,8
507000.0,4,2.5,2730,7649,2.0,3,7
387500.0,3,1.0,1220,8329,1.0,3,6
373000.0,3,1.75,1830,11788,1.0,3,8
359900.0,4,2.25,2470,7698,2.0,3,8
410000.0,2,1.0,800,4342,1.0,3,6
690000.0,4,2.5,2900,23488,2.0,3,9
225000.0,3,1.75,1760,26055,1.0,3,7
795000.0,2,1.0,1380,5000,1.5,3,5
195000.0,2,1.0,820,5100,1.0,3,6
480000.0,4,2.0,2180,10575,1.0,2,6
485000.0,4,2.0,1400,3600,1.0,3,7
130000.0,2,1.0,880,9000,1.0,3,5
325000.0,2,1.0,1060,5703,1.0,4,6
440000.0,3,1.75,1530,7245,1.0,4,7
310000.0,3,1.75,1490,7150,1.0,5,6
530000.0,3,2.5,3660,39478,2.0,4,9
243000.0,3,1.75,1450,12125,1.0,4,7
639000.0,4,2.5,2210,9875,2.0,3,9
215000.0,4,1.0,1130,7400,1.0,4,7
250000.0,4,1.75,1710,7140,1.0,5,7
452000.0,6,2.25,2660,13579,2.0,3,7
730000.0,6,2.25,2660,13579,2.0,3,7
565000.0,2,1.0,960,4080,1.0,5,7
1580000.0,4,3.25,4670,51836,2.0,4,12
350000.0,5,3.0,2520,5500,1.0,3,8
210000.0,2,1.75,1440,5680,1.0,4,8
328000.0,3,1.75,1470,7650,1.0,3,7
985000.0,4,2.25,4230,37769,2.0,3,11
501000.0,3,1.75,1970,7972,1.0,5,8
315000.0,3,2.25,1540,17424,2.0,3,7
403000.0,3,2.75,2090,8354,2.0,3,8
347500.0,4,2.5,2156,3562,2.0,3,9
365000.0,4,2.25,2070,8893,2.0,4,8
588000.0,3,1.0,1910,8167,1.0,4,8
605000.0,3,1.75,1920,7400,1.0,4,8
1300000.0,3,3.25,3400,5979,2.0,4,9
360000.0,4,2.5,2210,17715,2.0,3,8
459000.0,2,1.75,1170,4887,1.0,3,6
740000.0,3,2.0,2100,72745,1.0,4,9
305000.0,3,1.0,1160,9750,1.0,3,7
395000.0,3,1.0,1500,4000,1.0,3,6
560000.0,4,2.5,2940,6000,2.0,3,8
449950.0,3,2.5,2170,4912,2.0,3,7
435000.0,4,1.5,1510,6460,1.0,3,7
950000.0,3,1.75,2150,4200,1.0,5,8
447000.0,3,1.0,1370,6001,1.0,5,7
850000.0,3,1.75,1370,3850,1.0,5,7
942500.0,5,3.5,3750,9612,1.0,4,9
1310000.0,2,2.25,3950,3938,2.0,3,10
856600.0,4,2.25,2400,13430,1.0,4,9
405600.0,5,1.5,2830,4000,2.5,4,8
565000.0,4,2.5,2440,22594,2.0,3,8
400000.0,3,2.25,1190,1149,2.0,3,8
330000.0,3,2.0,1400,218252,1.0,3,7
374950.0,4,2.75,2730,4683,2.0,3,7
824000.0,4,2.25,2490,9864,1.0,4,8
760000.0,4,2.5,2430,6099,1.0,5,8
